Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	ellen	gianmarco	ANN_E	ANN_G
00:01:24.970	00:01:28.660	00:00:03.690	it's (.) it's being the: most extreme version of yourself		ANSWER	
00:01:29.210	00:01:30.370	00:00:01.160	and still fitting in		ELABORATION	
00:01:32.080	00:01:32.350	00:00:00.270		ehe		OTHER
00:01:32.850	00:01:35.200	00:00:02.350		and what is the most extreme version of myself		QUESTION
00:01:35.527	00:01:36.018	00:00:00.491	of you?		QUESTION	
00:01:36.018	00:01:36.618	00:00:00.600		↑yeah		ANSWER
00:01:36.640	00:01:40.420	00:00:03.780	it's like (1.5) even wider pants than you usually wear		ANSWER	
00:01:39.964	00:01:41.430	00:00:01.466		[((laughs))]		OTHER
00:01:43.190	00:01:46.280	00:00:03.090		yeah I st- I still have those pants here I am using them		INFORMATION
00:01:46.330	00:01:46.870	00:00:00.540	yea:[:h]		ATTENTION	
00:01:46.690	00:01:47.380	00:00:00.690		[ye]a[::h]		ATTENTION
00:01:47.090	00:01:48.140	00:00:01.050	[i l]ike those pants		INFORMATION	
00:01:49.050	00:01:52.570	00:00:03.520		i really loved that (.) that that that ↑day,		INFORMATION
00:01:52.420	00:01:52.970	00:00:00.550	[mhm]		ATTENTION	
00:01:52.600	00:01:55.580	00:00:02.980		>DAYS in general but that day< was=super cool		INFORMATION
00:01:55.600	00:01:56.120	00:00:00.520	yea:h		ATTENTION	
00:01:56.127	00:01:57.455	00:00:01.328		we met so many people		INFORMATION
00:01:57.480	00:01:57.930	00:00:00.450	yea:h		ATTENTION	
00:01:57.960	00:02:03.030	00:00:05.070	>and you said< am i (.) does does loo-  am i too much? and i said no:: c'mon this is copenhagen		INFORMATION	
00:02:03.360	00:02:08.740	00:00:05.380		but that's because (.) w::- when i live in lugano, (.) nobody dress li- like this like		INFORMATION
00:02:08.750	00:02:11.110	00:00:02.360		so it's a:: (.) it's a taboo (.) you know 		INFORMATION
00:02:11.400	00:02:11.910	00:00:00.510	ye[a:h]		ATTENTION	
00:02:11.750	00:02:13.760	00:00:02.010		[°in l]ugano (.) that's the thing°		ELABORATION
00:02:14.350	00:02:20.054	00:00:05.704	yea:h but we (1.0) <down at that> (1.0) dj set (.) that was outside,		INFORMATION	
00:02:20.060	00:02:20.770	00:00:00.710		°so cool°		ATTENTION
00:02:20.780	00:02:21.860	00:00:01.080	you fit right in		INFORMATION	
00:02:22.890	00:02:23.370	00:00:00.480	[i thi-]		INTERRUPTION	
00:02:22.900	00:02:23.570	00:00:00.670		[↑thank] you		ATTENTION
00:02:23.620	00:02:25.450	00:00:01.830	people were even complimenti you		INFORMATION	
00:02:25.780	00:02:27.160	00:00:01.380		i don't remember that		INFORMATION
00:02:28.080	00:02:29.730	00:00:01.650		okay i'm humble yeah i remember		INFORMATION
00:02:29.709	00:02:30.820	00:00:01.111	ye-heh-ah you remember		REPEAT	
00:02:31.980	00:02:35.700	00:00:03.720		but=e:::h (1.5) i sent you that video		INFORMATION
00:02:35.890	00:02:39.450	00:00:03.560		recently (.) about the::: (1.0) the dj set (.) no?		QUESTION
00:02:40.000	00:02:41.110	00:00:01.110	no I don't [think so]		ANSWER	
00:02:40.590	00:02:41.500	00:00:00.910		[i (.) d]idn't		REPEAT
00:02:41.600	00:02:43.660	00:00:02.060		i sent it to my sister oh right		INFORMATION
00:02:43.870	00:02:45.830	00:00:01.960		i sent that video to my sister recently,		INFORMATION
00:02:45.945	00:02:46.490	00:00:00.545	mhm		ATTENTION	
00:02:46.590	00:02:51.600	00:00:05.010		a::nd >and i said her< you can see me and ellen (.) like (.) at some point in the video		INFORMATION
00:02:51.873	00:02:52.472	00:00:00.599	real[LY?]		QUESTION	
00:02:52.200	00:02:53.160	00:00:00.960		[YE]AH yeah		ANSWER
00:02:53.000	00:02:55.940	00:00:02.940	.HHH oh yeah 'cause she said oh were in the video		INFORMATION	
00:02:56.309	00:02:56.760	00:00:00.451		[↑yeah]		ATTENTION
00:02:56.340	00:02:58.560	00:00:02.220	[and i s]aid (.) why don't you send it to me		INFORMATION	
00:02:58.560	00:03:01.170	00:00:02.610	>and you said< (.) >and you were just< didn- never sent it		INFORMATION	
00:03:01.182	00:03:02.545	00:00:01.363		I was gatekeeping it		INFORMATION
00:03:02.560	00:03:04.020	00:00:01.460	>yeah what the fuck< it's [me in the] video		INFORMATION	
00:03:03.280	00:03:03.750	00:00:00.470		[°yeah°]		ATTENTION
00:03:03.870	00:03:04.940	00:00:01.070		((laugh))		OTHER
