Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	E	R	NEWANN_1	NEWANN_2
00:01:35.228	00:01:38.556	00:00:03.328		I also went running↓ to go-,		INFORMATION
00:01:36.068	00:01:39.457	00:00:03.389	[and] (2.0) and >this is the only< things we did I think		INFORMATION	
00:01:39.820	00:01:40.227	00:00:00.407	↑right?		ATTENTION	
00:01:40.248	00:01:41.551	00:00:01.303		didn't we also go to the hairdresser		QUESTION
00:01:41.905	00:01:44.747	00:00:02.842	↑OH YES we DID! HEH HEH HEH		ANSWER	
00:01:44.769	00:01:45.777	00:00:01.008	.hhh was quite ↑random 		INFORMATION	
00:01:44.867	00:01:45.741	00:00:00.874		(word) an event!		INFORMATION
00:01:45.822	00:01:46.581	00:00:00.759	 .hhh why did we do that?		NONQUESTION	
00:01:46.560	00:01:48.278	00:00:01.718		it was such an event heh		REPEAT
00:01:48.442	00:01:52.549	00:00:04.107		 I think I was needing to:: °or uh:: maybe you too° 		INFORMATION
00:01:52.877	00:01:54.302	00:00:01.425	but why did we think of that?		QUESTION	
00:01:55.138	00:01:57.035	00:00:01.897		°>I don't know<° it's-it's on my mind hhh		INFORMATION
00:01:55.384	00:01:56.359	00:00:00.975	>were we that< bored?		NONQUESTION	
00:01:57.356	00:01:57.566	00:00:00.210	'kay		ATTENTION	
00:01:58.316	00:01:59.889	00:00:01.573	yeah we went to the hairdresser as well.		INFORMATION	
00:02:00.151	00:02:00.900	00:00:00.749		°$together$°		DETAIL
00:02:01.069	00:02:01.989	00:00:00.920	$together$		REPEAT	
00:02:01.739	00:02:02.263	00:00:00.524		heh heh		OTHER
00:02:03.009	00:02:03.548	00:00:00.539	yea(h)h		ATTENTION	
00:02:03.761	00:02:04.566	00:00:00.805		°very cute°		DETAIL
00:02:05.059	00:02:06.259	00:00:01.200	I th- I think that's it		INFORMATION	
00:02:06.720	00:02:07.098	00:00:00.378		y::eah		ATTENTION
00:02:07.461	00:02:09.766	00:00:02.305		oh it was three:: (0.5) four days		INFORMATION
00:02:09.623	00:02:10.125	00:00:00.502	°yeah°		ATTENTION	
00:02:11.166	00:02:14.807	00:00:03.641		you had to work on your uh:: (3) portfolio		ATTENTION
00:02:15.146	00:02:17.259	00:00:02.113	did I just hand it in like the first day?		QUESTION	
00:02:17.276	00:02:20.756	00:00:03.480		°yeah:: you were working on the (2) the car.°		ANSWER
00:02:21.254	00:02:22.130	00:00:00.876	yeah? yeah.		ATTENTION	
00:02:22.140	00:02:24.730	00:00:02.590	I think that's it basically heh (0.5) uhm,		INFORMATION	
00:02:25.280	00:02:25.970	00:00:00.690	[yeah]		ATTENTION	
00:02:25.287	00:02:25.960	00:00:00.673		[yeah]		ATTENTION
00:02:26.072	00:02:30.944	00:00:04.872		but like fro::m Vliebiza to (1.0) $Tillburg$ was already NINE hours,		INFORMATION
00:02:30.962	00:02:35.225	00:00:04.263	OH YES IT WAS NINE HOURS >and then we< compared it to a c- (.) to a:: (.) [I went to]		REPEAT	
00:02:32.758	00:02:33.517	00:00:00.759		[ugh::]		OTHER
00:02:33.870	00:02:40.779	00:00:06.909		[I was even gonna go] ALONE to Eindhoven but I didn't have the capacity anymore (.) 'cos we went to have dinner at Anna,		INFORMATION
00:02:40.779	00:02:41.128	00:00:00.349	yeah		ATTENTION	
00:02:41.293	00:02:42.687	00:00:01.394		and (word),		OTHER
00:02:43.694	00:02:44.051	00:00:00.357		and,		OTHER
00:02:48.832	00:02:52.122	00:00:03.290		and then I:: just collapsed (.) it was already eight of course		INFORMATION
00:02:52.141	00:02:56.360	00:00:04.219	collapsed but we did still go to a party hhh 		INFORMATION	
00:02:54.685	00:02:58.914	00:00:04.229		[THEN] hhh there was a party as we were (0.5) [and we were li-]		REPEAT
00:02:57.575	00:02:58.972	00:00:01.397	[a PARTY PARTY] yeah (.) 'cu-		REPEAT	
00:02:59.526	00:03:01.783	00:00:02.257		yeah:: like a little houseparty party.		DETAIL
00:03:00.522	00:03:04.306	00:00:03.784	le-l-l small (.) really small (.) random party		DETAIL	
00:03:03.020	00:03:05.629	00:00:02.609		$we went there (0.5) got super drunk$,		INFORMATION
00:03:05.918	00:03:08.791	00:00:02.873		heh heh heh heh		OTHER
00:03:06.190	00:03:07.610	00:00:01.420	↑yeah we did!? .hhh		ATTENTION	
00:03:09.322	00:03:11.472	00:00:02.150		we were playing (0.5) uh:: beerpong,		INFORMATION
00:03:11.858	00:03:12.392	00:00:00.534	°yeah°		ATTENTION	
00:03:12.258	00:03:14.365	00:00:02.107		and then Anna was doing the dishes hhh,		INFORMATION
00:03:15.265	00:03:16.765	00:00:01.500		she was [doing all] the cups,		DETAIL
00:03:15.460	00:03:16.200	00:00:00.740	[WAS SHE?]		QUESTION	
00:03:17.271	00:03:17.867	00:00:00.596	ah		ATTENTION	
00:03:17.537	00:03:19.062	00:00:01.525		>'cos they were< so gross,		INFORMATION
00:03:18.880	00:03:19.280	00:00:00.400	'kay		ATTENTION	
00:03:19.985	00:03:23.308	00:00:03.323		and then her whole jacket was (0.5) hhh wet.		INFORMATION
