Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	Speaker1	Speaker2	GOLD_S1	GOLD_S2	RITA_S1	RITA_S2	CHAT_S1	CHAT_S2
00:03:35.891	00:03:39.553	00:00:03.662		>all i was thinking at the time was like< one this is the most ridiculous shit ever		INFORMATION		INFORMATION		INFORMATION
00:03:39.945	00:03:45.811	00:00:05.866		two (.) my ass is just out in the airp[ort >'cause i'm] literally< (0.4) [laying] (.) almost face on the belt,		INFORMATION		INFORMATION		INFORMATION
00:03:42.453	00:03:42.986	00:00:00.533	[ye(h)a(h)h]		ATTENTION		ATTENTION		INTERRUPTION	
00:03:43.399	00:03:44.119	00:00:00.720	ye(h)[a(h)h]		ATTENTION		ATTENTION		INTERRUPTION	
00:03:46.380	00:03:48.730	00:00:02.350		and then i'm thinking three (.) all the security:		INFORMATION		INFORMATION		INFORMATION
00:03:48.750	00:03:53.445	00:00:04.695		>and all- all you're telling me i have to do< to get (.) behind the scenes at [the airport, it's just not my c]ap		INFORMATION		INFORMATION		INFORMATION
00:03:51.453	00:03:53.186	00:00:01.733	((laugh 0.5)) [(??)]		OTHER		OTHER		INTERRUPTION	
00:03:53.621	00:03:58.270	00:00:04.649		lik(h)- ((laugh 1.0)) [as- >literal]ly we were like< (.) deep behind the counter ((laugh 2.0))		INFORMATION		INFORMATION		INFORMATION
00:03:54.600	00:03:54.880	00:00:00.280	[an-]		INTERRUPTION		INTERRUPTION		INTERRUPTION	
00:03:57.453	00:04:00.880	00:00:03.427	[but worst of >all also<] this was (.) >the first< (.) ten minutes of our trip		INFORMATION		INFORMATION		INFORMATION	
00:04:01.067	00:04:03.202	00:00:02.135		righ- [that was the first] minu(h)[te]		REPEAT		REPEAT		INFORMATION
00:04:01.520	00:04:02.067	00:00:00.547	[that's-]		INTERRUPTION		INTERRUPTION		INTERRUPTION	
00:04:02.133	00:04:02.507	00:00:00.374	[and-]		INTERRUPTION		INTERRUPTION		INTERRUPTION	
00:04:03.106	00:04:05.130	00:00:02.024	[a]nd all i thought is (.) >thi[s has to] be a good trip<		INFORMATION		INFORMATION		INFORMATION	
00:04:04.317	00:04:04.509	00:00:00.192		[°yeah°]		ATTENTION		ATTENTION		ATTENTION
00:04:05.140	00:04:07.020	00:00:01.880	we [have to make] it (.) past this trip		INFORMATION		INFORMATION		INFORMATION	
00:04:05.365	00:04:05.846	00:00:00.481		[we:ll]		ATTENTION		ATTENTION		ATTENTION
00:04:07.220	00:04:07.884	00:00:00.664		°yea::h°		ATTENTION		ATTENTION		ATTENTION
00:04:07.970	00:04:09.970	00:00:02.000		>but it also felt like< the most dutch thing ever		INFORMATION		INFORMATION		INFORMATION
00:04:10.345	00:04:15.259	00:00:04.914		it was like of course you can't go without your ↑lens cap so we'll circumvent all airport security		INFORMATION		INFORMATION		INFORMATION
00:04:15.453	00:04:17.319	00:00:01.866	((laugh)) [(???)]		OTHER		OTHER		INTERRUPTION	
00:04:15.759	00:04:18.374	00:00:02.615		[i just wa(h)nt to le(h)t yo(h)u] ge(h)t your ca(h)(h)p		INFORMATION		INFORMATION		INFORMATION
00:04:18.548	00:04:20.730	00:00:02.182		((laugh)) [ye(h)s:]		OTHER		OTHER		ELABORATION
00:04:18.600	00:04:20.866	00:00:02.266	that's right we could've [dropped anything on that ↑be]lt		INFORMATION		INFORMATION		INFORMATION	
00:04:20.869	00:04:25.148	00:00:04.279		they >literally< circumvented a:ll security protocols to help us get that c[a(h)p o(h)ut]		INFORMATION		INFORMATION		INFORMATION
00:04:21.106	00:04:22.119	00:00:01.013	((laugh))		OTHER		OTHER		OTHER	
00:04:24.680	00:04:25.666	00:00:00.986	[that- that is (.)] tr[ue]		ATTENTION		ATTENTION		INFORMATION	
00:04:25.442	00:04:26.365	00:00:00.923		and then watched us		INFORMATION		INFORMATION		INFORMATION
00:04:26.615	00:04:27.408	00:00:00.793		>like she didn't even help<		INFORMATION		INFORMATION		INFORMATION
00:04:27.410	00:04:29.190	00:00:01.780		she just [watched us like it wa]s normal		ELABORATION		ELABORATION		INFORMATION
00:04:27.813	00:04:28.747	00:00:00.934	[she just watched]		REPEAT		REPEAT		REPEAT	
00:04:29.347	00:04:33.427	00:00:04.080	>she prob(h)ably< served someone [else] (1.1) while we were searching f[or it]		INFORMATION		INFORMATION		INFORMATION	
00:04:30.461	00:04:31.942	00:00:01.481		[she-] ((laugh 2.0))		INTERRUPTION		OTHER		INTERRUPTION
00:04:33.288	00:04:33.740	00:00:00.452		[ye]a:h		ATTENTION		ATTENTION		ATTENTION
00:04:33.874	00:04:34.653	00:00:00.779		but we got the cap,		INFORMATION		INFORMATION		INFORMATION
00:04:35.080	00:04:35.866	00:00:00.786	we got the cap		REPEAT		REPEAT		REPEAT	
00:04:36.201	00:04:36.509	00:00:00.308		°yep°		ATTENTION		ATTENTION		ATTENTION
00:04:36.586	00:04:39.820	00:00:03.234		a::nd (0.5) then it fell: (0.5) about what		NONQUESTION		INFORMATION		INFORMATION
00:04:39.830	00:04:41.360	00:00:01.530		ten more times [between-]		ANSWER		INFORMATION		INFORMATION
00:04:40.786	00:04:41.453	00:00:00.667	[te(h)- te(h)-]		INTERRUPTION		INTERRUPTION		INTERRUPTION	
00:04:41.360	00:04:43.830	00:00:02.470		((laugh))		OTHER		OTHER		OTHER
00:04:41.586	00:04:43.520	00:00:01.934	per day (.) ten more times		REPEAT		REPEAT		INFORMATION	
00:04:43.961	00:04:48.250	00:00:04.289		to the point, where we even went to the: fuji store >to try to buy< a new cap,		INFORMATION		INFORMATION		INFORMATION
00:04:48.546	00:04:54.906	00:00:06.360	because (0.5) that surely cannot be how a cap is supposed t[o be] if- [fa]lling off every time you touch someone,		INFORMATION		INFORMATION		INFORMATION	
00:04:51.750	00:04:52.077	00:00:00.327		[no]		ATTENTION		ATTENTION		INTERRUPTION
00:04:52.394	00:04:52.759	00:00:00.365		[no]		ATTENTION		ATTENTION		INTERRUPTION
00:04:54.394	00:04:59.480	00:00:05.086		yes, (.) in which we discovered that (0.5) one, (.) a replacement cap was <fourteen> pounds		INFORMATION		INFORMATION		INFORMATION
00:04:59.506	00:05:01.426	00:00:01.920	FOURT- (.) yes for two [pieces of plastic]		DETAIL		DETAIL		INFORMATION	
00:05:00.394	00:05:02.766	00:00:02.372		[which is (.) a gl]ass of wine, (.) not worth it		INFORMATION		INFORMATION		QUESTION
00:05:02.519	00:05:03.375	00:00:00.856	((laugh))		OTHER		OTHER		OTHER	
00:05:02.766	00:05:03.638	00:00:00.872		((laugh))		OTHER		OTHER		OTHER
00:05:03.627	00:05:07.307	00:00:03.680	NOW it is two glasses of wine (.) back then it was two glasses of wine		INFORMATION		INFORMATION		INFORMATION	
00:05:03.649	00:05:04.266	00:00:00.617		[tw-]		INTERRUPTION		INTERRUPTION		INTERRUPTION
00:05:04.277	00:05:06.234	00:00:01.957		((laugh))		OTHER		OTHER		OTHER
00:05:06.234	00:05:08.404	00:00:02.170		tw(h)o glasses of wine (.) not worth it,		REPEAT		REPEAT		INFORMATION
00:05:09.028	00:05:12.153	00:00:03.125		u:hm two, (1.2) he said all the caps are shitty		INFORMATION		INFORMATION		THINK
00:05:12.360	00:05:13.426	00:00:01.066	°yeah all shitt[y yes°]		REPEAT		REPEAT		INFORMATION	
00:05:13.086	00:05:14.363	00:00:01.277		[°that's] ↑right° so		ATTENTION		ATTENTION		ATTENTION
00:05:14.725	00:05:18.115	00:00:03.390		the end of that story is (1.0) don't kno- i don't know		INFORMATION		INFORMATION		THINK
00:05:18.394	00:05:21.135	00:00:02.741		i don't even know what(h) ((laugh 2.1))		INFORMATION		INFORMATION		INFORMATION
00:05:19.907	00:05:28.266	00:00:08.359	>but i think in london we actually said< we would (0.6) personally modify the cap to create a hook (.) ((laugh)) that (.) glues to the c[amera]		INFORMATION		INFORMATION		INFORMATION	
00:05:24.202	00:05:27.423	00:00:03.221		((laugh))		OTHER		OTHER		OTHER
00:05:27.672	00:05:28.278	00:00:00.606		[you're right]		ATTENTION		ATTENTION		INFORMATION
00:05:28.426	00:05:29.830	00:00:01.404	but it still ha- hasn't happen		INFORMATION		INFORMATION		INFORMATION	
00:05:29.850	00:05:33.959	00:00:04.109	it stil[l:] (.) [it's st(h)ill it's still] in (.) stage one >where it has to be wa[shed<]		INFORMATION		INFORMATION		INFORMATION	
00:05:30.480	00:05:31.586	00:00:01.106		[°it] has [not happened no°]		REPEAT		REPEAT		INFORMATION
00:05:33.711	00:05:34.703	00:00:00.992		[it] has to be washed		REPEAT		REPEAT		INFORMATION
00:05:34.723	00:05:37.468	00:00:02.745		and today: (.) it is the day, [(when that happens)]		INFORMATION		INFORMATION		INFORMATION
00:05:36.906	00:05:38.053	00:00:01.147	[today is] the day		REPEAT		REPEAT		REPEAT	
00:05:38.000	00:05:38.952	00:00:00.952		°it gets washed°		INFORMATION		INFORMATION		INFORMATION
00:05:39.240	00:05:39.546	00:00:00.306	ye[ah]		ATTENTION		ATTENTION		ATTENTION	
00:05:39.413	00:05:39.683	00:00:00.270		[ye]s		ATTENTION		ATTENTION		ATTENTION
00:05:39.933	00:05:40.467	00:00:00.534	the cap		DETAIL		DETAIL		INFORMATION	
00:05:40.586	00:05:40.865	00:00:00.279		°yes°		ATTENTION		ATTENTION		ATTENTION
00:05:41.278	00:05:41.528	00:00:00.250		°so°		OTHER		OTHER		INFORMATION
00:05:42.029	00:05:44.317	00:00:02.288		°that's the° tale of our first trip di london		INFORMATION		INFORMATION		INFORMATION
00:05:44.894	00:05:47.750	00:00:02.856		how we bypassed Schiphol's airport security:,		INFORMATION		INFORMATION		QUESTION
00:05:48.009	00:05:51.816	00:00:03.807		how we:: (0.5) wa- (.) keep dirty:: (.) l[ens caps,]		INFORMATION		INFORMATION		QUESTION
00:05:51.266	00:05:53.066	00:00:01.800	[and how it could] only go up from [there]		INFORMATION		INFORMATION		ANSWER	
00:05:51.868	00:05:52.752	00:00:00.884		((laugh))		OTHER		OTHER		OTHER
00:05:52.788	00:05:53.990	00:00:01.202		[can o]nly go up [from-]		REPEAT		REPEAT		INFORMATION
00:05:53.613	00:05:54.893	00:00:01.280	[it could on]ly go up		REPEAT		REPEAT		REPEAT	
00:05:54.201	00:05:56.047	00:00:01.846		or down (.) the conveyor be(h)lt		INFORMATION		INFORMATION		INFORMATION
00:05:55.186	00:05:55.573	00:00:00.387	or t-		INTERRUPTION		INTERRUPTION		INTERRUPTION	
00:05:56.093	00:05:56.880	00:00:00.787	((laugh))		OTHER		OTHER		OTHER	
00:05:56.375	00:05:56.865	00:00:00.490		((laugh))		OTHER		OTHER		OTHER
00:05:57.394	00:05:57.625	00:00:00.231		yep		ATTENTION		ATTENTION		ATTENTION
00:05:59.760	00:06:00.226	00:00:00.466	°yeah°		ATTENTION		ATTENTION		ATTENTION	
